CHANNEL,INPUT [mV]
1196,720.667
1197,721.268
1198,721.869
1199,722.47
1200,723.071
1201,723.672
1202,724.273
1203,724.874
1204,725.475
1205,726.076
1206,726.677
1207,727.278
1208,727.879
1209,728.48
1210,729.081
1211,729.682
1212,730.283
1213,730.884
1214,731.485
1215,732.086
1216,732.687
1217,733.288
1218,733.889
1219,734.49
1220,735.091
1221,735.692
1222,736.292
1223,736.893
1224,737.494
1225,738.095
1226,738.696
1227,739.297
1228,739.898
1229,740.499
1230,741.1
1231,741.701
1232,742.302
1233,742.903
1234,743.504
1235,744.105
1236,744.706
1237,745.307
1238,745.908
1239,746.509
1240,747.11
1241,747.711
1242,748.312
1243,748.913
1244,749.514
1245,750.115
1246,750.718
1247,751.321
1248,751.924
1249,752.528
1250,753.131
1251,753.734
1252,754.337
1253,754.94
1254,755.543
1255,756.146
1256,756.749
1257,757.352
1258,757.955
1259,758.558
1260,759.162
1261,759.765
1262,760.368
1263,760.971
1264,761.574
1265,762.177
1266,762.78
1267,763.383
1268,763.986
1269,764.589
1270,765.192
1271,765.796
1272,766.399
1273,767.002
1274,767.605
1275,768.208
1276,768.811
1277,769.414
1278,770.017
1279,770.62
1280,771.223
1281,771.826
1282,772.43
1283,773.033
1284,773.636
1285,774.239
1286,774.842
1287,775.445
1288,776.048
1289,776.651
1290,777.254
1291,777.857
1292,778.46
1293,779.064
1294,779.667
1295,780.27
1296,780.873
1297,781.476
1298,782.079
1299,782.682
1300,783.285
1301,783.888
1302,784.491
1303,785.094
1304,785.698
1305,786.301
1306,786.904
1307,787.507
1308,788.11
1309,788.713
1310,789.316
1311,789.919
1312,790.522
1313,791.125
1314,791.728
1315,792.331
1316,792.935
1317,793.538
1318,794.141
1319,794.744
1320,795.347
1321,795.95
1322,796.553
1323,797.156
1324,797.759
1325,798.362
1326,798.965
1327,799.569
1328,800.171
1329,800.772
1330,801.373
1331,801.974
1332,802.575
1333,803.176
1334,803.777
1335,804.378
1336,804.978
1337,805.579
1338,806.18
1339,806.781
1340,807.382
1341,807.983
1342,808.584
1343,809.185
1344,809.786
1345,810.387
1346,810.988
1347,811.589
