CHANNEL,INPUT [mV]
1524,403.976
1525,404.242
1526,404.508
1527,404.774
1528,405.039
1529,405.305
1530,405.571
1531,405.837
1532,406.103
1533,406.369
1534,406.634
1535,406.9
1536,407.166
1537,407.432
1538,407.698
1539,407.964
1540,408.229
1541,408.495
1542,408.761
1543,409.027
1544,409.293
1545,409.559
1546,409.824
1547,410.09
1548,410.356
1549,410.622
1550,410.888
1551,411.154
1552,411.419
1553,411.685
1554,411.951
1555,412.217
1556,412.483
1557,412.749
1558,413.014
1559,413.28
1560,413.546
1561,413.812
1562,414.078
1563,414.344
1564,414.609
1565,414.875
1566,415.141
1567,415.407
1568,415.673
1569,415.939
1570,416.204
1571,416.47
1572,416.736
1573,417.002
1574,417.268
1575,417.534
1576,417.799
1577,418.065
1578,418.331
1579,418.597
1580,418.863
1581,419.129
1582,419.394
1583,419.66
1584,419.926
1585,420.192
1586,420.458
1587,420.724
1588,420.989
1589,421.255
1590,421.521
1591,421.787
1592,422.053
1593,422.319
1594,422.584
1595,422.85
1596,423.116
1597,423.382
1598,423.648
1599,423.914
1600,424.179
1601,424.445
1602,424.711
1603,424.977
1604,425.243
1605,425.508
1606,425.774
1607,426.04
1608,426.306
1609,426.572
1610,426.838
1611,427.103
1612,427.369
1613,427.635
1614,427.901
1615,428.167
1616,428.433
1617,428.698
1618,428.964
1619,429.23
1620,429.496
1621,429.762
1622,430.028
1623,430.293
1624,430.559
1625,430.825
1626,431.091
1627,431.357
1628,431.623
1629,431.888
1630,432.154
1631,432.42
1632,432.686
1633,432.952
1634,433.218
1635,433.483
1636,433.749
1637,434.015
1638,434.281
1639,434.547
1640,434.813
1641,435.078
1642,435.344
1643,435.61
1644,435.876
1645,436.142
1646,436.408
1647,436.673
1648,436.939
1649,437.205
1650,437.471
1651,437.737
1652,438.003
1653,438.268
1654,438.534
1655,438.8
1656,439.066
1657,439.332
1658,439.598
1659,439.863
1660,440.129
1661,440.395
1662,440.661
1663,440.927
1664,441.193
1665,441.458
1666,441.724
1667,441.99
1668,442.256
1669,442.522
1670,442.788
1671,443.053
1672,443.319
1673,443.585
1674,443.851
1675,444.117
1676,444.383
1677,444.648
1678,444.914
1679,445.18
1680,445.446
1681,445.712
1682,445.977
1683,446.243
1684,446.509
1685,446.775
1686,447.041
1687,447.307
1688,447.572
1689,447.838
1690,448.104
1691,448.37
1692,448.636
1693,448.902
1694,449.167
1695,449.433
1696,449.699
1697,449.965
1698,450.231
1699,450.497
1700,450.762
1701,451.028
1702,451.294
1703,451.56
1704,451.826
1705,452.092
1706,452.357
1707,452.623
1708,452.889
1709,453.155
1710,453.421
1711,453.687
1712,453.952
1713,454.218
1714,454.484
1715,454.75
1716,455.016
1717,455.282
1718,455.547
1719,455.813
1720,456.079
1721,456.345
1722,456.611
1723,456.877
1724,457.142
1725,457.408
1726,457.674
1727,457.94
1728,458.206
1729,458.472
1730,458.737
1731,459.003
1732,459.269
1733,459.535
1734,459.801
1735,460.067
1736,460.332
1737,460.598
1738,460.864
1739,461.13
1740,461.396
1741,461.662
1742,461.927
1743,462.193
1744,462.459
1745,462.725
1746,462.991
1747,463.257
1748,463.522
1749,463.788
1750,464.054
1751,464.32
1752,464.586
1753,464.852
1754,465.117
1755,465.383
1756,465.649
1757,465.915
1758,466.181
1759,466.446
1760,466.712
1761,466.978
1762,467.244
1763,467.51
1764,467.776
1765,468.041
1766,468.307
1767,468.573
1768,468.839
1769,469.105
1770,469.371
1771,469.636
1772,469.902
1773,470.168
1774,470.434
1775,470.7
1776,470.966
1777,471.231
1778,471.497
1779,471.763
1780,472.029
1781,472.295
1782,472.561
1783,472.826
1784,473.092
1785,473.358
1786,473.624
1787,473.89
1788,474.156
1789,474.421
1790,474.687
1791,474.953
1792,475.219
1793,475.485
1794,475.751
1795,476.016
1796,476.282
1797,476.548
1798,476.814
1799,477.08
1800,477.346
1801,477.611
1802,477.877
1803,478.143
1804,478.409
1805,478.675
1806,478.941
1807,479.206
1808,479.472
1809,479.738
1810,480.004
1811,480.27
1812,480.536
1813,480.801
1814,481.067
1815,481.333
1816,481.599
1817,481.865
1818,482.131
1819,482.396
1820,482.662
1821,482.928
1822,483.194
1823,483.46
1824,483.726
1825,483.991
1826,484.257
1827,484.523
1828,484.789
1829,485.055
1830,485.321
1831,485.586
1832,485.852
1833,486.118
1834,486.384
1835,486.65
1836,486.916
1837,487.181
1838,487.447
1839,487.713
1840,487.979
1841,488.245
1842,488.51
1843,488.776
1844,489.042
1845,489.308
1846,489.574
1847,489.84
1848,490.105
1849,490.371
1850,490.637
1851,490.903
1852,491.169
1853,491.435
1854,491.7
1855,491.966
1856,492.232
1857,492.498
1858,492.764
1859,493.03
1860,493.295
1861,493.561
1862,493.827
1863,494.093
1864,494.359
1865,494.625
1866,494.89
1867,495.156
1868,495.422
1869,495.688
1870,495.954
1871,496.22
1872,496.485
1873,496.751
1874,497.017
1875,497.283
1876,497.549
1877,497.815
1878,498.08
1879,498.346
1880,498.612
1881,498.878
1882,499.144
1883,499.41
1884,499.675
1885,499.941
1886,500.208
1887,500.475
1888,500.742
1889,501.01
1890,501.277
1891,501.544
1892,501.811
1893,502.078
1894,502.345
1895,502.613
1896,502.88
1897,503.147
1898,503.414
1899,503.681
1900,503.949
1901,504.216
1902,504.483
1903,504.75
1904,505.017
1905,505.284
1906,505.552
1907,505.819
1908,506.086
1909,506.353
1910,506.62
1911,506.887
1912,507.155
1913,507.422
1914,507.689
1915,507.956
1916,508.223
1917,508.49
1918,508.758
1919,509.025
1920,509.292
1921,509.559
1922,509.826
1923,510.094
1924,510.361
1925,510.628
1926,510.895
1927,511.162
1928,511.429
1929,511.697
1930,511.964
1931,512.231
1932,512.498
1933,512.765
1934,513.032
1935,513.3
1936,513.567
1937,513.834
1938,514.101
1939,514.368
1940,514.635
1941,514.903
1942,515.17
1943,515.437
1944,515.704
1945,515.971
1946,516.239
1947,516.506
1948,516.773
1949,517.04
1950,517.307
1951,517.574
1952,517.842
1953,518.109
1954,518.376
1955,518.643
1956,518.91
1957,519.177
1958,519.445
1959,519.712
1960,519.979
1961,520.246
1962,520.513
1963,520.78
1964,521.048
1965,521.315
1966,521.582
1967,521.849
1968,522.116
1969,522.384
1970,522.651
1971,522.918
1972,523.185
1973,523.452
1974,523.719
1975,523.987
1976,524.254
1977,524.521
1978,524.788
1979,525.055
1980,525.322
1981,525.59
1982,525.857
1983,526.124
1984,526.391
1985,526.658
1986,526.925
1987,527.193
1988,527.46
1989,527.727
1990,527.994
1991,528.261
1992,528.529
1993,528.796
